merchant_description,merchant_token,mcc,city,country,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by
CRV*GATE RETAIL WIZZ E,crv gate retail wizz,5309,CURVE.COM,IE,,,Wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,
SAGOR ALIMENTACION,sagor alimentacion,5411,BARCELONA,ES,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
XSOLLA /TWITCH,xsolla twitch,5816,SHERMAN OAKS,US,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
LIME*RIDE K6TK,lime ride,7519,BULGARIA,BG,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
PKS GDYNIA 02,pks gdynia,4131,WEJHEROWO,PL,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Bus Lines,0.0,rule_based,
O17618266529788708 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
TRUFFLES BAKERY,truffles bakery,5462,WEST SUSSEX B,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule
GOPAY  $CEDCR.CZ,gopay cedcr,7375,CEDCR.CZ,CZ,,,Business Services,"Advertising, consulting, IT services",,0.0,rule_based,
RESTAURANT GENUSSTER,restaurant genusster,5812,AGGSBACH MARK,AT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
JETSTAR AIRW0000000YQWSTK,jetstar,3079,WWW.JETSTAR.C,AU,Travel & Airlines,Airlines,Airlines,Individual airline merchant codes,,0.95,rule_based,mcc_rule
PALDISKI KONSUM,paldiski konsum,5499,"HARJUMAA, PAL",EE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
PAN ET GATO,pan gato,5462,ANNECY LE VI,FR,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule
TFL TRAVEL CH,tfl travel,4111,TFL.GOV.UK/CP,GB,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
EVENTIX B.V.,eventix,7922,3185225052,NL,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Theatrical Producers,0.95,rule_based,mcc_rule
LANDESBETRIEB VERKEHR,landesbetrieb verkehr,9399,IKFZ000100091,DE,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule
"BOOTS/0917,",boots,5912,WEST THURRO,GB,Health & Pharmacy,Pharmacies,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule
LIME*RIDE O4CL,lime ride,4789,ATHENS,GR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
LIDL 727 OUDBEIJERLAND,lidl oudbeijerland,5411,OUD-BEIJERLAN,NL,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
WILLHABEN 1253710144,willhaben,5331,VIENNA,AT,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Variety Stores,0.95,rule_based,mcc_rule
FOODORA_AT_XEFN-2WY4,foodora xefn,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
HAPPYTIGER,happytiger,7995,ID:1854661967,DK,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
MOONPAY*LEDGER 3765,moonpay ledger,6051,DUBILN,IE,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule
GOPAY  *BAZAROVEREGALY.CZ,gopay bazaroveregaly,5251,BRNO,CZ,,,Wholesale,"Durable goods wholesalers, industrial equipment",Hardware Stores,0.0,rule_based,
CFA SOC SW* CV DOCTORI,cfa soc doctori,8699,41443824244,CH,,,Membership Organizations,"Religious, civic, social clubs",,0.0,rule_based,
SG*MEMORYOS.COM,memoryos,8299,LEWES,US,Education,"Schools, universities, education services",Education,"Schools, universities, vocational training",Educational Services,0.95,rule_based,mcc_rule
APPLE STORE R454,apple,5732,SICILY,IT,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Electronics Stores,0.95,rule_based,mcc_rule
HAPPYTIGER,happytiger,7995,ID:2877063858,DK,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
DEKAMARKT LOC46392,dekamarkt,5411,AMSTERDAM,NL,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
ERNSTING'S FAMILY 0001,ernsting family,5651,FRIEDBERG,DE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
PAYMENT SOLUTION & SERVIC,solution servic,5812,STEFFISBURG,CH,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
KOZAK KFT. SZEKHELY,kozak kft szekhely,5921,KECSKEMET,HU,Bars & Alcohol,Liquor stores,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Liquor Stores,0.95,rule_based,mcc_rule
FOODORA_AT_Z3Z1-2527-K,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
MRCR*DAVID*ELIS,mrcr david elis,6051,VISA DIRECT,HR,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule
O17529055544027041 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
ZOTTER SCHOKOLADE,zotter schokolade,5441,RIEGERSBURG,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Candy / Nut Stores,0.95,rule_based,mcc_rule
IC JICIN,jicin,5200,JICIN,CZ,,,Wholesale,"Durable goods wholesalers, industrial equipment",Home Supply Warehouse Stores,0.0,rule_based,
URBAMUSA,urbamusa,7523,MURCIA ESP,ES,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
LIME*2 COURSES JDQK,lime courses jdqk,4789,PARIS,FR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
DROGERIA MAR KOS,drogeria mar kos,5977,PLOCK,PL,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Cosmetic Stores,0.0,rule_based,
TEDI FIL  6268,tedi fil,5651,DORTMUND,DE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
IPSWICH TOWN FOOTBALL,ipswich town football,7941,IPSWICH,GB,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Sports Clubs,0.95,rule_based,mcc_rule
SPILNU,spilnu,7995,ID:1940905313,DK,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
AUTOMATA TO:LTO'A'LLOM,automata lto llom,5542,SARVAR,HU,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Automated Fuel Dispensers,0.95,rule_based,mcc_rule
SKULLTURE IBIZA,skullture ibiza,5947,SAN CARLOS,ES,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Gift Shops,0.0,rule_based,
LAWSON,lawson,5499,TOKYO,JP,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
WWW.AMAZON* 204-70608,amazon,5399,1  1401865794,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
ASDA SUPERSTORE,asda superstore,5411,MERTHYR TYDFI,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
PBZ8AROMAGLOBAL,,5812,DUBROVNIK,HR,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
LIME*3 COURSES WFR4,lime courses,4789,SAN FRANCISCO,US,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
AVM XOR8SEBF6IA1SLQ,avm,4111,VENEZIA,IT,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
FOODORA_AT_GWU7-2435-H,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
LIME*RIDE UMLC,lime ride umlc,7999,SAN FRANCISCO,US,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule
UBER   *TRIP,uber trip,4121,AMSTERDAM,NL,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
FOODORA_AT_OJHY-2510-ACGY,foodora ojhy acgy,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
FACEBK* 3KAF7ZF722,facebk,7311,MENLO PARK,US,,,Business Services,"Advertising, consulting, IT services",Advertising Services,0.0,rule_based,
ACS*23666122 THREE,acs three,4814,ROTTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule
LISEBERG LH SP,liseberg,7996,GOTEBORG,SE,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule
MOL*ELBENWALD GMBH,mol elbenwald gmbh,5691,49355121010,DE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Men’s & Women’s Clothing,0.95,rule_based,mcc_rule
MERCADONA  FRANCISCO A,mercadona francisco,5411,ALZIRA,ES,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
FOODORA_AT_O2BI-2442-O,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
COVA MONTENAPOLEONE SRL,cova montenapoleone srl,5499,MILANO MI,IT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
AIRBALTIC.COM,airbaltic,4511,V000015772,LV,Travel & Airlines,Airlines,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Airlines,0.95,rule_based,mcc_rule
WOOCOMM 9091791,woocomm,5734,HTTPSWOOCOMME,US,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
9967150937,,4899,BUCHAREST,RO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
SVETITS KATOLIKUS,svetits katolikus,5811,DEBRECEN,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Caterers,0.95,rule_based,mcc_rule
B M 518 - EDGELEY,edgeley,5399,STOCKPORT,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
HOLMESPLACE MILLENNIUM,holmesplace millennium,7298,WIEN,AT,Beauty & Personal Care,Personal care services and spas,Personal Services,"Hotels, laundry, beauty services, personal care",,0.95,rule_based,mcc_rule
NOTEMACHINE,notemachine,6011,MK9 1FG,GB,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",ATM Cash Withdrawal,0.95,rule_based,mcc_rule
CESKA POSTA  51401,ceska posta,9402,JILEMNICE,CZ,,,Government Administrative Services,"Postal services, government operations",Postal Services,0.0,rule_based,
LIME*PASS YIMN,lime pass yimn,4789,MILAN,IT,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
LIME*5 FAHRTEN GEKB,lime fahrten gekb,4789,PARIS,FR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
GOPAY  *VITAMIN360.COM,gopay,5499,DUNAJSKA STRE,SK,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
BIOPIAC MARKET SZOCIAL,biopiac market szocial,5734,UJSOLT,HU,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
LIME*RIDE LUDN,lime ride ludn,4789,PARIS,FR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
FOODORA_AT_MV84-XPV6,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
ALRABWA ALKHADRA,alrabwa alkhadra,5422,AMMAN,JO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Freezer & Locker Meat Provisioners,0.95,rule_based,mcc_rule
AMAZON UK* Z72EA1NL4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
O17491896377813462 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
SWISS H.TEL LA COURONN,swiss tel couronn,7011,AVENCHES,CH,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
TV NOVA 9793557872,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
LIME*4 RIDES BDEG,lime rides bdeg,4789,WALLISELLEN,CH,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
"SK SLOVAN BRATISLAVA,",slovan bratislava,5814,BRATISLAVA,SK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
3CKET* 1423451 MC IG N,,7399,LISBOA,PT,,,Business Services,"Advertising, consulting, IT services",Business Services,0.0,rule_based,
GOPAY *AMICI.CZ,gopay amici,5499,BRNO,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
ERGO REISEVERSICHERUNG AG,ergo reiseversicherung,6300,VSNR183935930,DE,,,Insurance,Insurance underwriting and premiums,Insurance Sales,0.0,rule_based,
AGENDA BOOKSHOP,agenda bookshop,5942,VALLETTA      MLT,MT,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,
MCDONALDS 01161,mcdonalds,5814,WOLGAST,DE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
O17634522164046369 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
ACS*23590242 THREE,acs three,4814,PLEASEHELP.IO,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule
PAYONEER.COM,payoneer,7399,818240466,GB,,,Business Services,"Advertising, consulting, IT services",Business Services,0.0,rule_based,
WESTERHOF KAASSPECIA,westerhof kaasspecia,5411,DELDEN,NL,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
TCL 69 LYO,tcl lyo,4111,V25144003543�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
BOLT.EUD2509121740,bolt,5812,TALLINN,EE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
GOPAY  *NEJOUTDOOR.CZ,gopay nejoutdoor,5941,CHVALIKOVIC,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Sporting Goods Stores,0.0,rule_based,
DAT GRAC,dat grac,7523,AIX EN PROVEN,FR,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
TCL 69 LYO,tcl lyo,4111,V25154010147�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
